2081, 2081
[-1.#IND; -1.#IND; -1.#IND]
[-1.#IND; -1.#IND; -1.#IND]
[-2911.0652; -1873.6538; 1]
[-2911.3467; -1873.8495; 1]
[-2912.1912; -1873.5576; 1]
[-2912.458; -1873.7557; 0.99999994]
[-2912.7422; -1873.9528; 1]
[-2913.0256; -1874.1497; 1]
[-2913.3098; -1874.3472; 1]
[-2913.5938; -1874.5444; 0.99999994]
[-2913.1265; -1873.7095; 1]
[-2913.4121; -1873.9078; 1]
[-2913.696; -1874.1055; 1]
[-2913.9812; -1874.3032; 1]
[-2914.2668; -1874.5016; 1]
[-2914.5513; -1874.699; 1]
[-2914.8362; -1874.8969; 1]
[-2915.1199; -1875.0941; 1]
[-2915.4053; -1875.2925; 1]
[-2915.6892; -1875.49; 1]
[-2915.9746; -1875.6879; 1]
[-2916.2598; -1875.886; 1]
[-2913.8503; -1873.5494; 1]
[-2914.1357; -1873.7476; 0.99999994]
[-2914.7051; -1874.1428; 0.99999994]
[-2914.9893; -1874.3403; 1]
[-2915.5369; -1874.6829; 0.99999994]
[-2915.8201; -1874.8798; 0.99999994]
[-2955.0732; -1905.9395; 0.99999994]
[-2955.363; -1906.1406; 0.99999994]
[-2955.6558; -1906.3436; 1]
[-2955.9465; -1906.5453; 1]
[-2956.2363; -1906.7468; 1]
[-2956.5283; -1906.9493; 0.99999994]
[-2956.8184; -1907.1508; 1]
[-2957.1082; -1907.3481; 1]
[-2957.6885; -1907.7511; 1]
[-2957.9805; -1907.9531; 1]
[-2958.271; -1908.155; 0.99999994]
[-2958.561; -1908.3572; 1]
[-2959.144; -1908.7623; 1]
[-2959.4343; -1908.9642; 1]
[-2959.7268; -1909.1674; 1]
[-2960.0188; -1909.3698; 1]
[-2960.3105; -1909.5726; 1]
[-2960.6016; -1909.7749; 0.99999994]
[-2960.894; -1909.9779; 0.99999994]
[-2961.1858; -1910.1807; 1]
[-2961.4792; -1910.3843; 1]
[-2961.7698; -1910.5869; 1]
[-2985.2925; -1924.7771; 1]
[-3248.7893; -2094.6912; 1]
[-3249.1321; -2094.929; 1]
[-3249.4766; -2095.167; 1]
[-3252.5662; -2094.6626; 1]
[-3252.9119; -2094.9009; 1]
[-3253.6274; -2095.3899; 1]
[-3225.1443; -2072.2793; 1]
[-3225.4849; -2072.5137; 1]
[-3225.8252; -2072.748; 1]
[-3226.1653; -2072.9827; 1]
[-3226.604; -2073.3206; 1]
[-3226.9419; -2073.5535; 1]
[-3227.2798; -2073.7871; 1]
[-3227.6191; -2074.021; 1]
[-3270.3738; -2093.7598; 1]
[-3276.7175; -2095.5774; 0.99999994]
[-3323.0422; -2118.3657; 1]
[-3357.3372; -2138.1548; 1]
[-3359.6802; -2137.4534; 1]
[-3360.0427; -2137.7009; 1]
[-3362.8562; -2139.4792; 1]
[-3363.2156; -2139.7249; 1]
[-3363.5767; -2139.9719; 1]
[-3363.9387; -2140.2195; 1]
[-3446.1873; -2207.5129; 1]
[-3446.5664; -2207.7727; 1]
[-3446.9448; -2208.032; 1]
[-3670.3755; -2353.1597; 1]
[-4145.0942; -2657.2185; 1]
[-4145.6226; -2657.5784; 1]
[-4146.3076; -2658.0564; 1]
[-4140.5488; -2665.7212; 1]
[-4141.0757; -2666.0823; 1]
[-4141.604; -2666.4446; 1]
[-4142.1313; -2666.8059; 1]
[-4142.6616; -2667.1687; 1]
[-4143.1899; -2667.531; 1]
[-4143.7837; -2667.9272; 1]
[-4144.144; -2668.1924; 1]
[-4144.5283; -2668.4636; 1]
[-4144.4429; -2668.4377; 1]
[-4144.1021; -2668.2527; 1]
[-4144.6816; -2668.647; 1]
[-4145.083; -2668.8958; 1]
[-4145.6143; -2669.2598; 1]
[-4146.3135; -2669.7229; 1]
[-4146.8208; -2670.0679; 1]
[-4147.3506; -2670.4314; 1]
[-4147.8833; -2670.7969; 0.99999994]
[-4157.498; -2670.9375; 1]
[-4140.458; -2656.6257; 1]
[-4140.9878; -2656.9883; 1]
[-4010.2192; -2570.6047; 1]
[-3990.2415; -2546.0276; 1]
[-3991.8191; -2546.8228; 1]
[-3992.3188; -2547.1621; 1]
[-3992.8193; -2547.5022; 1]
[-4294.8804; -2753.5513; 1]
[-4295.4536; -2753.9404; 1]
[-4291.5454; -2758.3616; 1]
[-4292.1201; -2758.7524; 1]
[-5030.0249; -3242.9805; 0.99999994]
[-5030.8779; -3243.5542; 1]
[-5031.6494; -3244.0776; 1]
[-5032.4214; -3244.6006; 1]
[-5033.1929; -3245.124; 1]
[-5033.9658; -3245.6484; 0.99999994]
